Operating,,,,,
1000 - Cost Of Fulltime Positions,"59,059",0,0,0,0
1198 - Insurance Recoveries,0,0,0,0,0
1199 - Turnover & Delayed Hiring,0,0,0,0,0
1311 - Overtime,"3,771",0,0,0,0
2000 - Employee Benefits,"23,979",0,0,0,0
3000 - Contracted Serv-Prof/Tech,0,0,0,0,0
5000 - Contr Serv-Trans/Comm/Other,0,0,0,0,0
6000 - Materials & Supplies,0,0,0,0,0
7000 - Equipment,0,0,0,0,0
,,,,,
Categorical,,,,,
1000 - Cost Of Fulltime Positions,0,0,0,0,0
1311 - Overtime,190,0,0,0,0
2000 - Employee Benefits,31,0,0,0,0
5000 - Contr Serv-Trans/Comm/Other,-742,0,0,0,0
6000 - Materials & Supplies,-268,0,0,0,0
