1,Operating,5000 - Contr Serv-Trans/Comm/Other,94996960,125332474,130305072,170967188,40662116
2,Operating,5000 - Contr Serv-Trans/Comm/Other,385873634,404869744,406417298,465643177,59225879
2,Categorical,3000 - Contracted Serv-Prof/Tech,163662,0,0,0,0
2,Categorical,5000 - Contr Serv-Trans/Comm/Other,0,0,0,0,0
2,Categorical,8000 - Scholarships & Stipends,6551079,7167019,10432309,9428036,-1004273
3,Operating,5000 - Contr Serv-Trans/Comm/Other,50661700,57139265,65489517,76031076,10541559
4,Operating,5000 - Contr Serv-Trans/Comm/Other,26431423,26556195,28611100,25974374,-2636726
4,Operating,9000 - Other Uses Of Funds,0,0,0,0,0
5,Operating,3000 - Contracted Serv-Prof/Tech,7496198,7531318,7531318,8531318,1000000
5,Operating,5000 - Contr Serv-Trans/Comm/Other,57401958,56224364,56209364,57298666,1089302
6,Operating,1000 - Cost Of Fulltime Positions,281587,300210,315355,383313,67958
6,Operating,1199 - Turnover & Delayed Hiring,0,0,0,0,0
6,Operating,1711 - Summer Programs,4543,0,7949,7949,0
6,Operating,2000 - Employee Benefits,145367,163356,167430,214634,47204
6,Operating,3000 - Contracted Serv-Prof/Tech,13892330,13118356,13715905,13715905,0
6,Operating,4000 - Contracted Servs - Property,30000,30000,30000,30000,0
6,Operating,5000 - Contr Serv-Trans/Comm/Other,1046,10000,10000,10000,0
6,Operating,6000 - Materials & Supplies,1418,7600,89476,27864,-61612
6,Operating,6400 - Books/Instructional Aids,0,500,500,500,0
6,Operating,7000 - Equipment,11236,6600,6600,6600,0
6,Operating,9000 - Other Uses Of Funds,33145,255401,307901,282016,-25885
6,Categorical,1000 - Cost Of Fulltime Positions,9156854,9851527,9731251,6788112,-2943138
6,Categorical,1211 - Per Diem Substitute Service,127,0,0,0,0
6,Categorical,1511 - Extra Curricular,1341023,1280321,967087,0,-967087
6,Categorical,1711 - Summer Programs,732573,0,0,0,0
6,Categorical,1861 - Employee Insurance Opt-Out,9472,0,0,0,0
6,Categorical,2000 - Employee Benefits,5064194,5574401,5325845,3639221,-1686624
6,Categorical,3000 - Contracted Serv-Prof/Tech,1390452,2865388,1047222,1203018,155796
6,Categorical,4000 - Contracted Servs - Property,19200,24300,24300,0,-24300
6,Categorical,5000 - Contr Serv-Trans/Comm/Other,145095,79000,183956,49000,-134956
6,Categorical,6000 - Materials & Supplies,66299,197978,105587,105587,0
6,Categorical,6400 - Books/Instructional Aids,176458,0,0,0,0
6,Categorical,7000 - Equipment,14689,28200,0,0,0
6,Categorical,9000 - Other Uses Of Funds,0,0,1259941,0,-1259941
7,Operating,5000 - Contr Serv-Trans/Comm/Other,22160017,22626567,21343700,22626567,1282867
7,Operating,9000 - Other Uses Of Funds,0,0,0,0,0
